name;description;price;category
Cheeseburger;"Juicy beef patty topped with melted cheese, lettuce, tomatoes, onions, and pickles. Served with fries.";10.99;"Burgers"
Margherita Pizza;"Classic Italian pizza topped with tomato sauce, mozzarella cheese, and fresh basil leaves.";12.99;"Pizza, Italian"
Chicken Alfredo;"Creamy Alfredo sauce tossed with grilled chicken breast and fettuccine pasta. Served with garlic bread.";14.99;"Pasta"
Caesar Salad;"Crisp romaine lettuce tossed with Caesar dressing, croutons, and parmesan cheese.";8.99;"Salads"
Fish and Chips;"Crispy battered fish fillets served with golden fries and tartar sauce.";11.99;"Seafood, Appetizers"
Spaghetti Bolognese;"Spaghetti pasta topped with savory beef Bolognese sauce and grated parmesan cheese.";13.99;"Pasta, Italian"
Mango Tango Smoothie;"Refreshing smoothie made with fresh mangoes, yogurt, and a hint of lime.";5.99;"Beverages, Smoothies"
Vegetarian Sushi Roll;"Delicious sushi roll filled with avocado, cucumber, carrot, and topped with sesame seeds.";9.99;"Sushi, Vegetarian"
New York Cheesecake;"Classic New York-style cheesecake topped with strawberry compote.";6.99;"Desserts"
Taco Salad;"Crispy tortilla shell filled with seasoned ground beef, lettuce, tomatoes, shredded cheese, and sour cream.";9.49;"Salads, Mexican"
BBQ Chicken Wings;"Crispy chicken wings tossed in tangy BBQ sauce. Served with ranch dressing.";8.99;"Appetizers"
Philly Cheesesteak;"Sliced steak grilled with onions and bell peppers, topped with melted cheese, served in a hoagie roll.";11.99;"Sandwiches"
Chicken Teriyaki;"Grilled chicken breast marinated in teriyaki sauce. Served with steamed rice and stir-fried vegetables.";12.49;"Entrees"
Chocolate Milkshake;"Creamy chocolate milkshake topped with whipped cream and chocolate syrup.";4.99;"Beverages, Milkshakes"
Caprese Salad;"Fresh mozzarella cheese, ripe tomatoes, and basil leaves drizzled with balsamic glaze.";7.99;"Salads, Italian"
Vegetable Stir-Fry;"Assorted vegetables stir-fried in a savory sauce. Served with choice of rice or noodles.";10.99;"Entrees, Vegetarian"
Garden Veggie Burger;"Grilled veggie patty topped with lettuce, tomato, onion, and avocado. Served with sweet potato fries.";9.99;"Burgers, Vegetarian"
Chocolate Lava Cake;"Decadent chocolate cake with a gooey molten center. Served with vanilla ice cream.";7.49;"Desserts"
Greek Gyro;"Grilled gyro meat (beef/lamb), lettuce, tomato, onion, and tzatziki sauce wrapped in warm pita bread.";10.99;"Sandwiches, Greek"
Veggie Pizza;"Delicious vegetarian pizza loaded with bell peppers, onions, mushrooms, olives, and tomatoes.";11.99;"Pizza, Vegetarian"
Crispy Calamari;"Lightly breaded and fried calamari served with marinara sauce for dipping.";10.49;"Appetizers, Seafood"
Chicken Caesar Wrap;"Grilled chicken breast, romaine lettuce, Parmesan cheese, and Caesar dressing wrapped in a flour tortilla.";9.99;"Sandwiches"
Shrimp Scampi;"Tender shrimp sautéed with garlic, lemon juice, white wine, and butter. Served over pasta.";15.99;"Seafood, Pasta"
Fruit Salad;"Fresh assortment of seasonal fruits, served with a side of honey lime dressing.";6.99;"Salads"
French Onion Soup;"Classic French onion soup topped with melted Swiss cheese and croutons.";5.99;"Soups"
Pesto Pasta;"Penne pasta tossed in creamy pesto sauce with sun-dried tomatoes and grilled chicken.";13.49;"Pasta, Italian"
Buffalo Chicken Wrap;"Crispy chicken tenders tossed in spicy buffalo sauce, lettuce, tomato, and ranch dressing in a wrap.";8.99;"Sandwiches"
Key Lime Pie;"Tangy key lime filling in a graham cracker crust, topped with whipped cream.";6.49;"Desserts"
Mushroom Risotto;"Creamy risotto cooked with mushrooms, onions, garlic, white wine, and Parmesan cheese.";12.99;"Entrees"
Southwest Chicken Salad;"Grilled chicken breast, black beans, corn, avocado, tomatoes, and crispy tortilla strips on a bed of mixed greens.";10.99;"Salads"
Fettuccine Carbonara;"Fettuccine pasta tossed in creamy Alfredo sauce with bacon, peas, and Parmesan cheese.";14.49;"Pasta"
Beef Tacos;"Soft corn tortillas filled with seasoned ground beef, lettuce, cheese, and salsa.";8.49;"Mexican, Tacos"
Spinach Artichoke Dip;"Creamy spinach and artichoke dip served warm with tortilla chips for dipping.";7.99;"Appetizers"
Chicken Quesadilla;"Grilled chicken, melted cheese, and sautéed peppers and onions folded in a flour tortilla.";9.49;"Mexican, Appetizers"
Lemon Pepper Salmon;"Grilled salmon fillet seasoned with lemon pepper and served with rice pilaf and steamed vegetables.";16.99;"Seafood"
Cobb Salad;"Chopped lettuce topped with grilled chicken, bacon, hard-boiled eggs, avocado, tomatoes, and blue cheese.";11.99;"Salads"
Margarita Cocktail;"Classic margarita made with tequila, triple sec, lime juice, and a salt rim.";7.99;"Beverages, Cocktails"
Eggplant Parmesan;"Breaded and fried eggplant slices topped with marinara sauce and melted mozzarella cheese.";10.99;"Entrees, Vegetarian"
Cinnamon Roll Pancakes;"Fluffy pancakes swirled with cinnamon and topped with cream cheese icing.";9.49;"Breakfast, Pancakes"
Chicken Tikka Masala;"Tender chicken pieces cooked in a creamy tomato-based sauce with Indian spices. Served with basmati rice.";13.99;"Entrees, Indian"
Shrimp Po' Boy;"Crispy fried shrimp served on a French baguette with lettuce, tomato, and remoulade sauce.";12.49;"Sandwiches, Seafood"
Stuffed Mushrooms;"Mushroom caps stuffed with a mixture of breadcrumbs, garlic, herbs, and Parmesan cheese, baked until golden.";8.49;"Appetizers, Vegetarian"
Pulled Pork Sandwich;"Slow-cooked pulled pork tossed in BBQ sauce and served on a toasted bun with coleslaw.";10.99;"Sandwiches"
Tiramisu;"Traditional Italian dessert made with layers of coffee-soaked ladyfingers and mascarpone cheese.";7.49;"Desserts, Italian"
Chicken Fried Rice;"Stir-fried rice with diced chicken, eggs, peas, carrots, and soy sauce.";11.49;"Entrees"
Fajitas;"Sizzling skillet of grilled chicken or steak with sautéed onions and bell peppers. Served with warm tortillas, sour cream, and salsa.";14.99;"Mexican"
Mediterranean Salad;"Mixed greens topped with cucumbers, tomatoes, red onions, olives, feta cheese, and Greek dressing.";9.99;"Salads, Mediterranean"
Chili Cheese Fries;"Golden fries topped with homemade beef chili and melted cheddar cheese.";8.99;"Appetizers"
Lobster Roll;"Chilled lobster meat tossed in mayonnaise, served in a buttered and toasted split-top bun.";16.99;"Sandwiches, Seafood"
Garden Pizza;"Vegetarian pizza topped with bell peppers, mushrooms, onions, olives, and tomatoes.";11.49;"Pizza, Vegetarian"
Beef Stroganoff;"Tender strips of beef in a rich mushroom and onion gravy, served over egg noodles.";13.49;"Entrees"
Coconut Shrimp;"Large shrimp coated in coconut batter and fried until golden brown. Served with sweet chili sauce.";12.99;"Seafood, Appetizers"
Garlic Knots;"Soft bread knots brushed with garlic butter and sprinkled with Parmesan cheese.";5.99;"Appetizers"
Tofu Stir-Fry;"Crispy tofu cubes stir-fried with mixed vegetables in a savory sauce. Served with steamed rice.";10.99;"Entrees, Vegetarian"
Mint Chocolate Chip Ice Cream;"Rich mint-flavored ice cream with chocolate chips.";4.49;"Desserts"
Chicken Parmesan;"Breaded chicken breast topped with marinara sauce and melted mozzarella cheese. Served with spaghetti.";14.99;"Entrees"
Hawaiian Burger;"Grilled beef patty topped with grilled pineapple, Swiss cheese, lettuce, and teriyaki sauce.";11.49;"Burgers"
Cheeseburger;"Juicy beef patty topped with melted cheese, lettuce, tomatoes, onions, and pickles. Served with fries.";10.99;"Burgers"
Margherita Pizza;"Classic Italian pizza topped with tomato sauce, mozzarella cheese, and fresh basil leaves.";12.99;"Pizza, Italian"
Chicken Alfredo;"Creamy Alfredo sauce tossed with grilled chicken breast and fettuccine pasta. Served with garlic bread.";14.99;"Pasta"
Caesar Salad;"Crisp romaine lettuce tossed with Caesar dressing, croutons, and parmesan cheese.";8.99;"Salads"
Fish and Chips;"Crispy battered fish fillets served with golden fries and tartar sauce.";11.99;"Seafood, Appetizers"
Spaghetti Bolognese;"Spaghetti pasta topped with savory beef Bolognese sauce and grated parmesan cheese.";13.99;"Pasta, Italian"
Mango Tango Smoothie;"Refreshing smoothie made with fresh mangoes, yogurt, and a hint of lime.";5.99;"Beverages, Smoothies"
Vegetarian Sushi Roll;"Delicious sushi roll filled with avocado, cucumber, carrot, and topped with sesame seeds.";9.99;"Sushi, Vegetarian"
New York Cheesecake;"Classic New York-style cheesecake topped with strawberry compote.";6.99;"Desserts"
Taco Salad;"Crispy tortilla shell filled with seasoned ground beef, lettuce, tomatoes, shredded cheese, and sour cream.";9.49;"Salads, Mexican"
BBQ Chicken Wings;"Crispy chicken wings tossed in tangy BBQ sauce. Served with ranch dressing.";8.99;"Appetizers"
Philly Cheesesteak;"Sliced steak grilled with onions and bell peppers, topped with melted cheese, served in a hoagie roll.";11.99;"Sandwiches"
Chicken Teriyaki;"Grilled chicken breast marinated in teriyaki sauce. Served with steamed rice and stir-fried vegetables.";12.49;"Entrees"
Chocolate Milkshake;"Creamy chocolate milkshake topped with whipped cream and chocolate syrup.";4.99;"Beverages, Milkshakes"
Caprese Salad;"Fresh mozzarella cheese, ripe tomatoes, and basil leaves drizzled with balsamic glaze.";7.99;"Salads, Italian"
Vegetable Stir-Fry;"Assorted vegetables stir-fried in a savory sauce. Served with choice of rice or noodles.";10.99;"Entrees, Vegetarian"
Garden Veggie Burger;"Grilled veggie patty topped with lettuce, tomato, onion, and avocado. Served with sweet potato fries.";9.99;"Burgers, Vegetarian"
Chocolate Lava Cake;"Decadent chocolate cake with a gooey molten center. Served with vanilla ice cream.";7.49;"Desserts"
Greek Gyro;"Grilled gyro meat (beef/lamb), lettuce, tomato, onion, and tzatziki sauce wrapped in warm pita bread.";10.99;"Sandwiches, Greek"
Veggie Pizza;"Delicious vegetarian pizza loaded with bell peppers, onions, mushrooms, olives, and tomatoes.";11.99;"Pizza, Vegetarian"
Crispy Calamari;"Lightly breaded and fried calamari served with marinara sauce for dipping.";10.49;"Appetizers, Seafood"
Chicken Caesar Wrap;"Grilled chicken breast, romaine lettuce, Parmesan cheese, and Caesar dressing wrapped in a flour tortilla.";9.99;"Sandwiches"
Shrimp Scampi;"Tender shrimp sautéed with garlic, lemon juice, white wine, and butter. Served over pasta.";15.99;"Seafood, Pasta"
Fruit Salad;"Fresh assortment of seasonal fruits, served with a side of honey lime dressing.";6.99;"Salads"
French Onion Soup;"Classic French onion soup topped with melted Swiss cheese and croutons.";5.99;"Soups"
Pesto Pasta;"Penne pasta tossed in creamy pesto sauce with sun-dried tomatoes and grilled chicken.";13.49;"Pasta, Italian"
Buffalo Chicken Wrap;"Crispy chicken tenders tossed in spicy buffalo sauce, lettuce, tomato, and ranch dressing in a wrap.";8.99;"Sandwiches"
Key Lime Pie;"Tangy key lime filling in a graham cracker crust, topped with whipped cream.";6.49;"Desserts"
Mushroom Risotto;"Creamy risotto cooked with mushrooms, onions, garlic, white wine, and Parmesan cheese.";12.99;"Entrees"
Southwest Chicken Salad;"Grilled chicken breast, black beans, corn, avocado, tomatoes, and crispy tortilla strips on a bed of mixed greens.";10.99;"Salads"
Fettuccine Carbonara;"Fettuccine pasta tossed in creamy Alfredo sauce with bacon, peas, and Parmesan cheese.";14.49;"Pasta"
Beef Tacos;"Soft corn tortillas filled with seasoned ground beef, lettuce, cheese, and salsa.";8.49;"Mexican, Tacos"
Spinach Artichoke Dip;"Creamy spinach and artichoke dip served warm with tortilla chips for dipping.";7.99;"Appetizers"
Chicken Quesadilla;"Grilled chicken, melted cheese, and sautéed peppers and onions folded in a flour tortilla.";9.49;"Mexican, Appetizers"
Lemon Pepper Salmon;"Grilled salmon fillet seasoned with lemon pepper and served with rice pilaf and steamed vegetables.";16.99;"Seafood"
Cobb Salad;"Chopped lettuce topped with grilled chicken, bacon, hard-boiled eggs, avocado, tomatoes, and blue cheese.";11.99;"Salads"
Margarita Cocktail;"Classic margarita made with tequila, triple sec, lime juice, and a salt rim.";7.99;"Beverages, Cocktails"
Eggplant Parmesan;"Breaded and fried eggplant slices topped with marinara sauce and melted mozzarella cheese.";10.99;"Entrees, Vegetarian"
Cinnamon Roll Pancakes;"Fluffy pancakes swirled with cinnamon and topped with cream cheese icing.";9.49;"Breakfast, Pancakes"
Chicken Tikka Masala;"Tender chicken pieces cooked in a creamy tomato-based sauce with Indian spices. Served with basmati rice.";13.99;"Entrees, Indian"
Shrimp Po' Boy;"Crispy fried shrimp served on a French baguette with lettuce, tomato, and remoulade sauce.";12.49;"Sandwiches, Seafood"
Stuffed Mushrooms;"Mushroom caps stuffed with a mixture of breadcrumbs, garlic, herbs, and Parmesan cheese, baked until golden.";8.49;"Appetizers, Vegetarian"
Pulled Pork Sandwich;"Slow-cooked pulled pork tossed in BBQ sauce and served on a toasted bun with coleslaw.";10.99;"Sandwiches"
Tiramisu;"Traditional Italian dessert made with layers of coffee-soaked ladyfingers and mascarpone cheese.";7.49;"Desserts, Italian"
Chicken Fried Rice;"Stir-fried rice with diced chicken, eggs, peas, carrots, and soy sauce.";11.49;"Entrees"
Fajitas;"Sizzling skillet of grilled chicken or steak with sautéed onions and bell peppers. Served with warm tortillas, sour cream, and salsa.";14.99;"Mexican"
Mediterranean Salad;"Mixed greens topped with cucumbers, tomatoes, red onions, olives, feta cheese, and Greek dressing.";9.99;"Salads, Mediterranean"
Chili Cheese Fries;"Golden fries topped with homemade beef chili and melted cheddar cheese.";8.99;"Appetizers"
Lobster Roll;"Chilled lobster meat tossed in mayonnaise, served in a buttered and toasted split-top bun.";16.99;"Sandwiches, Seafood"
Garden Pizza;"Vegetarian pizza topped with bell peppers, mushrooms, onions, olives, and tomatoes.";11.49;"Pizza, Vegetarian"
Beef Stroganoff;"Tender strips of beef in a rich mushroom and onion gravy, served over egg noodles.";13.49;"Entrees"
Coconut Shrimp;"Large shrimp coated in coconut batter and fried until golden brown. Served with sweet chili sauce.";12.99;"Seafood, Appetizers"
Garlic Knots;"Soft bread knots brushed with garlic butter and sprinkled with Parmesan cheese.";5.99;"Appetizers"
Tofu Stir-Fry;"Crispy tofu cubes stir-fried with mixed vegetables in a savory sauce. Served with steamed rice.";10.99;"Entrees, Vegetarian"
Mint Chocolate Chip Ice Cream;"Rich mint-flavored ice cream with chocolate chips.";4.49;"Desserts"
Chicken Parmesan;"Breaded chicken breast topped with marinara sauce and melted mozzarella cheese. Served with spaghetti.";14.99;"Entrees"
Hawaiian Burger;"Grilled beef patty topped with grilled pineapple, Swiss cheese, lettuce, and teriyaki sauce.";11.49;"Burgers"